"hispanic","Gender","LifeSat1","LifeSat2","LifeSat3","LifeSat4","LifeSatA","PYDI1Ab","PYDI2Ab","PYDI3Ab","PYDI4Ab","PYDI5Ab","PYDI6Ab","PYDI7Ab"
0,2,1,1,1,4,64,0,0,0,0,0,0,0
0,1,4,3,6,4,56,0,1,1,1,1,0,1
0,1,1,1,1,1,95,1,1,1,1,1,1,1
1,2,1,5,1,1,96,0,1,0,1,1,1,0
0,1,1,5,5,5,92,1,1,1,1,1,1,1
0,1,1,1,4,4,83,1,1,1,1,1,1,1
1,1,1,4,4,1,95,1,1,1,1,1,1,1
1,2,1,4,1,1,80,0,1,1,1,1,1,1
1,1,4,4,4,4,86,1,1,1,1,1,1,1
0,4,1,2,3,3,41,1,1,0,0,1,0,1
1,1,1,3,4,4,64,1,1,1,1,1,1,1
0,4,1,1,1,1,1,0,0,0,1,0,0,0
0,2,1,4,4,4,87,1,1,1,1,1,1,1
1,2,4,2,3,2,36,0,1,1,1,1,0,1
1,1,3,2,2,3,15,0,0,0,0,0,1,0
0,1,1,1,1,1,0,0,1,0,0,0,0,0
0,2,4,4,3,4,73,0,0,1,1,1,1,0
1,2,4,5,4,4,66,1,0,0,1,1,1,1
0,1,2,1,2,3,47,0,1,0,0,0,1,0
0,2,2,2,5,4,69,0,1,0,1,1,1,1
1,1,3,2,4,3,70,0,0,0,0,0,0,1
0,2,2,1,2,1,26,0,1,1,0,1,0,1
0,2,4,3,3,3,32,0,1,0,1,1,1,1
0,1,2,2,2,2,55,0,1,0,0,1,1,1
0,1,2,2,2,2,23,0,0,0,1,1,1,1
1,2,3,1,3,1,25,1,0,0,1,0,0,0
1,1,3,4,3,2,1,0,1,1,0,1,1,1
1,1,4,3,4,4,70,1,1,1,1,1,1,1
0,2,5,1,1,2,61,0,0,1,1,0,1,1
0,2,4,1,4,3,55,0,1,1,0,0,0,0
0,1,6,4,4,4,92,1,1,1,1,1,1,1
0,1,2,1,1,1,12,0,0,0,1,0,0,0
0,2,4,1,4,1,30,0,0,0,0,0,1,0
1,1,3,3,3,2,59,0,1,1,0,0,1,1
0,2,4,4,4,2,35,0,1,1,0,0,1,1
0,1,5,5,5,4,55,0,0,1,0,0,1,1
0,2,1,6,5,1,44,0,0,0,1,1,0,1
0,2,3,2,2,2,35,0,1,1,0,0,1,1
0,2,1,1,1,1,2,0,0,1,0,0,0,0
0,1,1,1,1,1,90,1,1,1,1,1,1,1
0,1,4,2,4,3,35,0,1,1,1,0,1,1
0,1,5,1,6,1,68,1,1,0,0,1,1,1
0,1,6,5,5,4,65,0,1,1,1,1,1,1
0,2,4,4,4,4,78,0,1,0,1,0,1,0
0,2,3,3,2,2,20,0,1,1,1,1,1,1
