     8.000 0 1 0 1 0 1 0      0.620      0.380      0.000      0.000    1
     7.000 0 1 1 1 0 0 0      0.966      0.034      0.000      0.000    1
     5.000 0 0 0 1 0 0 0      0.996      0.004      0.000      0.000    1
     4.000 0 1 0 1 0 0 0      0.983      0.017      0.000      0.000    1
     4.000 0 1 1 0 0 0 0      0.986      0.014      0.000      0.000    1
     4.000 0 0 1 1 0 1 0      0.761      0.239      0.000      0.000    1
     4.000 0 1 0 0 0 0 0      0.993      0.007      0.000      0.000    1
     4.000 0 0 0 0 0 0 0      0.998      0.002      0.000      0.000    1
     3.000 0 0 1 1 0 0 0      0.991      0.009      0.000      0.000    1
     3.000 0 1 0 0 0 1 0      0.803      0.197      0.000      0.000    1
     3.000 0 0 1 0 0 0 1      0.900      0.100      0.000      0.000    1
     3.000 0 0 0 0 0 0 1      0.949      0.051      0.000      0.000    1
     3.000 1 1 1 1 0 0 0      0.940      0.060      0.000      0.000    1
     3.000 0 0 0 0 0 1 0      0.942      0.058      0.000      0.000    1
     2.000 1 1 0 1 0 0 1      0.505      0.492      0.003      0.000    1
     2.000 1 0 1 1 1 0 0      0.830      0.168      0.002      0.000    1
     2.000 0 1 1 0 0 1 0      0.665      0.335      0.000      0.000    1
     2.000 0 1 1 1 1 0 0      0.688      0.308      0.004      0.000    1
     1.000 0 1 1 0 0 0 1      0.693      0.307      0.000      0.000    1
     1.000 1 1 0 1 1 0 0      0.714      0.282      0.004      0.000    1
     1.000 0 1 0 1 1 0 0      0.820      0.179      0.000      0.000    1
     1.000 1 0 0 1 0 1 0      0.782      0.217      0.000      0.000    1
     1.000 1 0 1 1 0 0 0      0.984      0.016      0.000      0.000    1
     1.000 0 0 0 1 0 1 0      0.867      0.133      0.000      0.000    1
     1.000 0 1 0 1 0 0 1      0.650      0.350      0.000      0.000    1
     1.000 1 0 0 1 0 0 0      0.992      0.008      0.000      0.000    1
     1.000 0 0 0 1 1 0 0      0.948      0.052      0.000      0.000    1
     1.000 0 0 1 0 0 0 0      0.996      0.004      0.000      0.000    1
     1.000 0 0 1 0 1 0 0      0.957      0.043      0.000      0.000    1
     1.000 1 1 1 0 0 1 0      0.523      0.477      0.000      0.000    1
     1.000 0 0 1 1 1 0 0      0.899      0.101      0.000      0.000    1
     1.000 1 1 1 0 0 0 1      0.555      0.445      0.000      0.000    1
     1.000 1 0 1 1 0 0 1      0.666      0.333      0.001      0.000    1
    55.000 0 1 0 1 1 1 1      0.003      0.833      0.163      0.000    2
    42.000 0 1 1 1 0 1 1      0.024      0.940      0.036      0.000    2
    23.000 1 1 1 1 0 1 1      0.010      0.677      0.313      0.000    2
    21.000 0 1 1 0 0 1 1      0.060      0.940      0.000      0.000    2
    19.000 0 0 1 1 1 1 1      0.007      0.865      0.128      0.000    2
    12.000 0 1 0 1 0 1 1      0.050      0.947      0.003      0.000    2
    12.000 0 1 1 0 1 1 1      0.005      0.995      0.000      0.000    2
    12.000 0 1 1 1 0 1 0      0.443      0.556      0.001      0.000    2
    10.000 0 1 1 1 1 1 0      0.055      0.864      0.082      0.000    2
     9.000 0 0 0 1 1 1 1      0.016      0.971      0.013      0.000    2
     8.000 0 1 0 0 1 1 1      0.010      0.990      0.000      0.000    2
     7.000 0 1 1 1 1 0 1      0.053      0.733      0.215      0.000    2
     7.000 1 1 1 0 1 1 1      0.003      0.997      0.000      0.000    2
