stu_id,strat_id,psu,bys87a,bys87c,bys87f,bys89a,bys89b,bys89l,bys89r,bys89u,f1s18a,f1s18b,f1s18c,f1s18d,f1s18e,bys70a,bys70b,bys70c,bys70d,bystlang,bytm12b,bysex,byrace_r,byses2qu,f3onet2curr,f3onet6curr,f3bytscwt,school
101101,101,1,3,3,3,2,1,2,2,1,3,2,2,2,3,-3,-3,-3,-3,1,0,2,-5,2,43,-5,196.375,1011
101102,101,1,2,2,2,4,3,4,4,4,3,3,3,3,3,1,1,1,1,0,-3,2,-5,4,29,-5,28.6822,1011
101104,101,1,3,3,3,3,2,2,3,2,2,3,3,2,2,-3,-3,-3,-3,1,-3,2,-5,1,27,-5,666.7643,1011
101105,101,1,2,2,1,4,3,3,3,4,3,2,2,3,4,-3,-3,-3,-3,1,-3,2,-5,1,39,-5,271.4467,1011
101106,101,1,2,2,2,2,2,3,3,3,3,3,3,4,4,1,1,1,1,0,-3,2,-5,1,29,-5,170.8671,1011
101107,101,1,2,2,1,2,2,3,3,-9,-8,-8,-8,-8,-8,1,1,1,1,0,0,1,-5,1,-9,-5,258.123,1011
101108,101,1,2,3,3,2,1,2,3,3,2,2,2,3,3,-3,-3,-3,-3,1,0,1,-5,3,53,-5,202.8046,1011
101109,101,1,2,3,1,4,3,3,3,3,-4,-4,-4,-4,-4,-3,-3,-3,-3,1,-3,1,-5,2,13,-5,751.2914,1011
101110,101,1,2,3,2,3,3,3,3,3,-4,-4,-4,-4,-4,-3,-3,-3,-3,1,-9,1,-5,1,-4,-5,0,1011
101111,101,1,2,3,1,4,3,3,3,3,2,2,2,2,2,-3,-3,-3,-3,1,-3,1,-5,1,33,-5,280.6561,1011
101112,101,1,2,3,2,1,2,2,2,1,-8,-8,-8,-8,-8,-3,-3,-3,-3,1,-3,1,-5,2,55,-5,73.7161,1011
101113,101,1,2,2,2,2,2,1,1,1,4,4,4,4,4,1,1,1,1,0,0,2,-5,3,53,-5,185.7237,1011
101114,101,1,2,3,2,2,2,2,3,3,-8,-8,-8,-8,-8,-3,-3,-3,-3,1,0,2,-5,1,39,-5,239.2099,1011
101115,101,1,2,2,2,2,2,3,3,3,3,3,3,4,3,-3,-3,-3,-3,1,1,1,-5,1,43,-5,39.5646,1011
101116,101,1,4,4,4,4,3,3,4,4,2,2,2,2,3,-3,-3,-3,-3,1,-3,1,-5,4,55,-5,31.2373,1011
101117,101,1,3,3,3,3,3,3,-9,-9,2,2,1,2,2,-3,-3,-3,-3,1,0,1,-5,3,-4,-5,0,1011
101118,101,1,1,3,3,2,1,1,2,2,2,1,2,3,4,-3,-3,-3,-3,1,-4,2,-5,3,29,-5,244.1716,1011
101119,101,1,2,4,4,2,2,3,2,2,-4,-4,-4,-4,-4,1,1,1,1,0,0,2,-5,1,-4,-5,0,1011
101120,101,1,3,4,4,2,2,2,2,2,-8,-8,-8,-8,-8,-3,-3,-3,-3,1,-3,1,-5,1,51,-5,864.8287,1011
101121,101,1,3,2,2,4,4,4,4,4,4,4,4,4,4,1,1,1,1,0,-3,2,-5,4,13,-5,32.061,1011
101122,101,1,4,4,4,2,2,2,2,2,3,3,2,4,4,1,1,1,1,0,0,1,-5,2,11,-5,208.3492,1011
101123,101,1,3,3,3,3,3,3,3,3,4,3,3,3,4,1,2,2,3,0,-3,1,-5,1,53,-5,230.0786,1011
101124,101,1,2,2,2,3,3,2,4,4,2,2,2,2,2,-3,-3,-3,-3,1,-3,1,-5,1,-4,-5,0,1011
101125,101,1,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-8,-8,-8,1,1,1,1,0,0,2,-5,1,-4,-5,0,1011
101126,101,1,2,2,2,3,-9,-9,-9,-9,3,2,2,3,3,2,2,2,3,0,-3,2,-5,1,43,-5,31.3238,1011
101127,101,1,2,3,3,2,2,2,3,3,3,2,2,3,3,1,1,1,1,0,-3,2,-5,3,29,-5,31.8494,1011
101128,101,1,2,2,2,3,3,2,2,3,3,3,4,4,3,2,3,3,3,0,1,1,-5,1,-4,-5,0,1011
101129,101,1,4,4,4,2,2,3,3,3,1,1,1,1,1,-3,-3,-3,-3,1,-3,1,-5,2,21,-5,775.7066,1011
101131,101,1,3,4,3,3,3,3,3,3,-8,-8,-8,-8,-8,-3,-3,-3,-3,1,-3,1,-5,4,17,-5,708.4777,1011
101132,101,1,2,4,4,2,2,2,2,2,-4,-4,-4,-4,-4,-3,-3,-3,-3,1,-3,1,-5,2,-4,-5,0,1011
101133,101,1,3,4,4,2,2,2,-9,2,4,4,4,4,4,-3,-3,-3,-3,1,0,1,-5,1,-4,-5,0,1011
101201,101,2,-9,-9,-9,-9,-9,-9,-9,-9,2,1,1,2,2,1,1,1,1,0,-4,1,-5,2,53,-5,218.4957,1012
101203,101,2,-9,-9,-9,-9,-9,-9,-9,-9,-8,-8,-8,-8,-8,-3,-3,-3,-3,1,0,1,-5,3,-8,-5,0,1012
101207,101,2,-9,-9,-9,-9,-9,-9,-9,-9,2,2,2,3,3,-3,-3,-3,-3,1,-4,1,-5,2,47,-5,215.0544,1012
101209,101,2,-9,-9,-9,-9,-9,-9,-9,-9,3,2,2,3,3,-3,-3,-3,-3,1,-4,1,-5,1,-8,-5,0,1012
101210,101,2,-9,-9,-9,-9,-9,-9,-9,-9,4,3,4,4,4,-3,-3,-3,-3,1,-3,1,-5,4,11,-5,214.88,1012
101211,101,2,-9,-9,-9,-9,-9,-9,-9,-9,2,2,2,3,3,-3,-3,-3,-3,1,-4,2,-5,3,43,-5,172.3952,1012
101212,101,2,-9,-9,-9,-9,-9,-9,-9,-9,-4,-4,-4,-4,-4,-3,-3,-3,-3,1,0,1,-5,3,-3,-5,246.7952,1012
101214,101,2,2,3,2,-9,-9,-9,-9,-9,2,2,2,3,2,-3,-3,-3,-3,1,0,2,-5,2,43,-5,221.5542,1012
101215,101,2,-9,-9,-9,-9,-9,-9,-9,-9,2,2,2,3,3,-3,-3,-3,-3,1,-4,1,-5,2,-4,-5,0,1012
101217,101,2,4,3,4,3,3,3,3,3,-8,-8,-8,-8,-8,-3,-3,-3,-3,1,0,2,-5,1,-4,-5,0,1012
101219,101,2,3,3,3,2,1,-9,-9,-9,2,2,2,2,2,-3,-3,-3,-3,1,-4,2,-5,3,29,-5,169.4561,1012
101221,101,2,2,2,2,3,3,-9,-9,-9,3,4,3,4,4,-3,-3,-3,-3,1,-3,2,-5,1,43,-5,209.4799,1012
101222,101,2,-4,-4,-4,-4,-4,-4,-4,-4,-8,-8,-8,-8,-8,-4,-4,-4,-4,-4,-4,-4,-5,-4,53,-5,608.2185,1012
101223,101,2,-7,-7,-7,-7,-7,-7,-7,-7,2,2,2,2,2,-3,-3,-3,-3,1,-4,2,-5,2,43,-5,226.3635,1012
101226,101,2,3,3,3,2,1,1,1,-9,2,2,2,2,2,-3,-3,-3,-3,1,-4,1,-5,4,-4,-5,0,1012
101227,101,2,-7,-7,-7,-7,-7,-7,-7,-7,-4,-4,-4,-4,-4,-3,-3,-3,-3,1,0,1,-5,2,15,-5,235.6428,1012
102101,102,1,3,3,1,3,3,3,3,3,2,2,2,2,2,-3,-3,-3,-3,1,-4,1,-5,1,29,-5,45.0328,1021
