CASENUM,GENDER,KA46A,KA46H,KA46I,KA46K,KA46L,KA47A,KA47H,KA47I,KA47K,KA47L
1001,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1002,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1005,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1006,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,2,2,2,2,2,2,2,2,2,2,2
1008,1,2,2,3,2,2,4,3,3,3,4
1009,2,2,2,2,2,2,3,3,3,3,3
1010,1,4,2,3,4,4,4,3,3,3,3
1011,2,1,2,2,1,1,1,2,2,1,1
1012,1,4,4,4,2,2,4,4,4,3,3
1013,1,2,1,2,1,1,1,1,2,1,1
1014,2,2,2,2,2,2,2,2,2,2,2
1015,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1016,1,2,2,2,2,4,1,2,2,2,1
1017,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1018,1,5,5,5,5,5,5,4,4,4,4
1019,2,1,1,1,1,1,1,1,1,1,1
1020,2,2,1,1,1,1,2,2,2,3,2
1021,2,2,1,2,4,5,4,3,3,3,2
1022,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1023,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1024,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1025,2,3,3,2,4,4,2,2,2,3,3
1026,2,2,2,2,3,2,2,2,2,3,2
1027,1,1,2,2,3,2,4,3,3,3,3
1028,1,4,3,3,2,2,2,3,2,3,3
1029,1,4,2,4,2,2,2,3,4,4,4
1030,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1031,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1032,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1033,2,4,2,2,2,2,2,2,2,2,2
1034,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1035,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1036,1,1,2,3,3,3,4,3,3,3,3
1037,1,4,4,2,2,2,2,3,2,2,2
1038,2,2,2,2,2,2,2,3,2,2,2
1039,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1040,2,5,3,3,3,3,5,3,3,3,3
1041,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1042,1,2,2,2,2,2,2,3,2,3,2
1043,2,4,5,2,5,5,5,5,3,2,5
1044,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1045,2,3,2,2,2,2,2,2,2,2,2
1046,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1047,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1048,1,4,2,2,4,4,1,2,2,4,2
1049,1,5,3,2,2,3,5,5,2,5,1
1050,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1051,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1052,1,2,2,2,2,2,4,4,4,4,4
1053,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1054,1,4,2,2,3,3,2,3,2,3,3
1055,2,1,3,4,4,4,5,4,3,4,5
1056,2,3,3,3,3,3,3,3,3,3,3
1057,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1058,2,3,3,3,3,3,3,3,3,3,3
1059,2,4,2,2,2,2,4,3,2,3,3
