casenum,cohort,female,minority,ab39m,ab39t,ab39u,ab39w,ab39x,ga33a,ga33h,ga33i,ga33k,ga33l,math_g7,math_g10,math_g12,op_know,op_know2,siok,siok2,sci_issues7,sci_irt7
5881,2,0,0,1,1,1,1,1,0,0,1,1,1,59.36,72.06,75.05,1,1,0.89,0,2,55.29
5278,2,1,1,0,0,0,0,0,0,0,0,0,0,61.66,70,90.01,1,1,0.86,0,1,52.5
6693,2,1,0,1,1,0,0,1,1,1,1,1,1,69.87,74.47,80.02,0.33,0,0.56,0,2,65.09
4294,2,1,0,0,0,0,0,0,0,0,0,0,0,64.22,61.9,79.07,1,1,0.78,0,1,56.47
2630,2,1,0,0,0,1,0,0,0,0,0,0,0,59.61,64.52,69.56,0.33,0,0.44,0,2,49.53
6080,2,1,0,0,0,0,0,0,0,0,0,0,0,55.06,63.96,75.09,0.33,0,0.56,0,1,50.21
1730,2,1,0,0,0,0,0,0,0,0,0,0,0,61.99,62.71,69.11,1,1,0.78,0,1,52.13
5280,2,1,0,0,0,0,0,0,1,0,1,0,0,60.09,63.67,69.66,1,1,0.88,0,1,46.7
2041,2,0,0,1,1,1,1,1,1,1,1,1,0,55.03,54.26,68.9,1,1,0.86,0,2,46.47
4888,2,0,1,1,1,1,0,1,1,1,0,0,1,66.3,82.49,91.44,0.67,0,0.75,0,3,72.12
3329,2,0,0,1,1,0,1,1,0,0,1,1,1,51.44,62.68,60.98,1,1,1,1,2,47.24
4768,2,1,0,0,0,1,0,1,0,0,1,0,1,56.52,54.4,56.16,0.67,0,0.56,0,2,53.65
6800,2,1,1,0,0,0,0,0,0,0,0,0,0,50.1,55.21,59.19,0.33,0,0.67,0,2,49.84
6469,2,0,0,1,1,0,1,1,1,1,1,1,1,46.64,54.22,61.16,1,1,1,1,2,44.85
4168,2,0,0,1,0,0,0,0,1,0,0,0,0,47.3,36.89,57.4,0.33,0,0.56,0,2,52.05
2417,2,1,1,1,1,0,0,0,0,0,0,0,0,49.73,61.09,67.63,0.67,0,0.22,0,1,52.31
1378,2,0,0,1,0,1,1,0,0,0,0,0,0,33,37.86,39.14,0.33,0,0.22,0,2,35.76
2063,2,1,0,1,1,1,0,0,1,1,0,1,1,37.63,38.83,47.27,0.33,0,0.33,0,1,31.87
1033,2,0,0,1,0,1,0,1,1,1,1,0,1,44.24,45.14,52.57,0.67,0,0.78,0,3,49.9
1794,2,0,0,0,1,1,1,1,0,1,0,0,0,48.83,53.98,62.6,0.33,0,0.11,0,2,44.59
2310,2,1,1,0,0,0,0,0,0,0,0,0,0,52.57,55.21,56.85,0,0,0,0,2,40.43
4615,2,1,0,1,0,0,0,0,0,0,0,0,0,49.83,51.28,55.24,0,0,0.12,0,1,44.6
1614,2,0,1,1,0,0,0,0,1,0,0,0,0,35.98,31.86,45.49,0.33,0,0.33,0,3,32.12
4853,2,1,0,1,1,1,1,1,1,1,1,1,1,36.78,43.51,50.27,0,0,0,0,NA,28.69
2834,2,1,1,1,1,1,1,1,0,0,1,0,1,44.06,39.89,36.18,1,1,0.78,0,2,41.55
2132,2,1,1,0,0,0,1,1,1,1,0,0,0,35.41,48.57,37.24,1,1,1,1,2,41.79
3882,2,1,1,1,1,0,1,1,1,1,1,1,1,60.08,82.14,79.43,0.67,0,0.78,0,3,48.95
5031,2,0,1,0,0,0,1,0,1,1,1,0,0,55.28,73.48,80.76,1,1,0.78,0,3,51.22
1697,2,0,1,1,1,1,1,1,1,1,1,1,1,54.29,55.44,67.69,1,1,1,1,3,48.16
1397,2,1,1,1,1,0,0,0,1,0,0,0,0,43.04,40.74,51.39,0.33,0,0.12,0,1,41.6
1762,2,0,1,1,0,1,0,1,0,1,0,0,0,52.62,63.33,69.74,0.33,0,0.78,0,1,52.67
3630,2,0,1,1,1,1,1,1,1,1,0,1,1,42.11,57.01,55.69,0.33,0,0.11,0,3,44.59
3107,2,1,0,1,0,1,0,0,0,0,0,0,0,38.65,48.77,45.91,0.33,0,0.11,0,1,34.78
5093,2,0,0,1,1,1,1,1,1,1,1,1,1,52.71,66.11,70.27,0.33,0,0.11,0,3,42.04
6229,2,0,1,1,1,1,1,1,1,1,1,1,1,38.89,48.88,37.41,1,1,1,1,1,37.84
4347,2,0,1,1,1,0,1,1,1,1,1,1,0,33.26,41.99,45.78,0.33,0,0.67,0,2,40.46
2250,2,1,0,0,0,0,0,0,1,0,0,0,0,68.15,89.89,91.3,0.67,0,0.78,0,1,58.4
5202,2,1,0,0,0,0,1,0,0,1,0,1,1,59.35,80.96,93.3,0.67,0,0.67,0,1,55.46
5719,2,0,0,1,1,1,0,1,1,1,1,1,0,58.23,68.88,78.95,1,1,1,1,2,67.01
2321,2,1,0,0,0,0,0,0,0,0,0,0,0,42.23,59.33,45.5,0.33,0,0.11,0,1,45.09
1071,2,1,0,0,0,0,0,0,1,1,0,0,1,53.24,73.3,79.79,0.67,0,0.22,0,1,48.76
1452,2,1,0,0,0,0,0,0,1,1,0,1,1,71.91,88.87,91.45,1,1,0.89,0,2,63.79
1330,2,1,0,0,0,0,0,0,1,0,1,0,0,44.37,56.45,84.54,0.33,0,0.56,0,2,47.74
3207,2,0,0,0,1,1,0,1,1,1,1,1,1,52.08,65.12,64.51,1,1,1,1,3,62.91
4124,2,0,0,0,0,0,0,0,1,0,1,0,0,50.78,78.34,87.43,1,1,1,1,2,55.36
6798,2,0,0,0,0,1,0,0,1,1,1,1,1,58.54,85.55,88.62,0.67,0,0.78,0,3,65.2
2338,2,1,0,1,0,1,1,1,0,1,1,0,1,65.19,86.93,91.4,0.67,0,0.89,0,2,56.31
1944,2,1,0,1,1,1,1,1,1,1,1,1,1,73.65,83.71,93.02,1,1,0.78,0,2,70.51
5890,2,0,0,1,1,1,1,1,1,1,0,1,0,64.81,71.56,81.63,1,1,1,1,3,61.49
