CASENUM,GENDER,AB34D,ASCIIRT,CSCIIRT,ESCIIRT,GSCIIRT,ISCIIRT,KSCIIRT
1001,2,NA,NA,NA,NA,45.48,42.42,NA
1002,2,1,33.13,34.29,NA,30.91,40.87,NA
1003,1,NA,NA,NA,NA,63.48,65.02,64.32
1004,1,1,54.93,NA,NA,NA,NA,NA
1005,1,1,46.93,42.97,53.63,65.35,NA,NA
1006,2,2,26.75,NA,NA,NA,NA,NA
1007,2,NA,NA,NA,NA,76.34,79.14,74.98
1008,1,NA,NA,NA,NA,61.86,NA,64.86
1009,2,2,41.69,42.92,65.82,64.9,NA,NA
1010,1,NA,NA,NA,NA,41.74,53.55,52.6
1011,2,1,48.57,64.17,64.35,69.03,70.27,82.07
1012,1,2,46.46,46.33,52.09,55.72,53.25,60.13
1013,1,NA,NA,NA,NA,49.29,45.11,49.82
1014,2,NA,NA,NA,NA,64.86,67.45,69.56
1015,1,NA,NA,NA,NA,39.25,NA,NA
1016,1,3,56.8,NA,NA,NA,NA,NA
1017,2,3,65.5,69.09,73.31,77.35,81.12,84.64
1018,1,NA,NA,NA,NA,37.09,37.44,38.31
1019,2,NA,NA,NA,NA,75.81,82.05,NA
1020,2,NA,NA,NA,NA,75.05,75.05,80.21
1021,2,NA,NA,NA,NA,44.58,57.04,53.78
1022,2,NA,NA,NA,NA,NA,NA,NA
1023,2,2,63.14,69.45,67.58,66.26,NA,NA
1024,2,1,42.36,38.33,NA,58.93,NA,NA
1025,2,NA,NA,NA,NA,59.59,66.7,64.73
1026,2,NA,NA,NA,NA,75.22,76.68,81.4
1027,1,NA,NA,NA,NA,44.7,50.76,53.25
1028,1,NA,NA,NA,NA,69.91,70.07,70.74
1029,1,2,42.22,NA,58.07,58.81,55.81,61.1
1030,2,NA,NA,NA,NA,65.66,NA,NA
1031,2,NA,NA,NA,NA,62.63,NA,NA
1032,1,1,62.87,70.37,NA,NA,NA,NA
1033,2,3,49.9,36.2,45.48,47.88,51.53,50.22
1034,1,1,58.54,53.94,64.92,62.94,65.67,NA
1035,1,NA,NA,NA,NA,NA,NA,NA
1036,1,3,41,56.53,55.49,NA,51.25,42.66
1037,1,NA,NA,NA,NA,50.58,58.17,60.39
1038,2,NA,NA,NA,NA,59.48,58.07,64.85
1039,1,1,35.13,44.93,NA,37.51,41.13,NA
1040,2,3,60.8,59.12,62.44,62.51,70.06,66.13
1041,2,3,54.5,63.89,63.11,70.72,66.91,NA
1042,1,NA,NA,NA,NA,58.92,NA,63.41
1043,2,1,46.77,44.1,NA,58.25,NA,62.16
1044,2,3,NA,NA,NA,60.83,NA,NA
1045,2,2,74.59,71.1,76.64,82.7,87.7,85.92
1046,1,2,52.75,69.48,NA,NA,NA,NA
1047,1,3,48.24,55.28,NA,NA,NA,NA
1048,1,NA,NA,NA,NA,62.11,NA,67.5
1049,1,NA,NA,NA,NA,50.43,54.42,60.7
1050,2,NA,NA,NA,NA,66.46,NA,NA
1051,1,NA,NA,NA,NA,47.25,NA,NA
1052,1,1,47.27,47.98,49.51,53.69,61.73,60.57
1053,1,NA,NA,NA,NA,41.07,NA,NA
1054,1,3,54.33,56.62,61.16,58.09,NA,59.95
1055,2,NA,NA,NA,NA,51.56,NA,43.16
1056,2,NA,NA,NA,NA,69.98,NA,64.05
1057,1,1,26.14,31.32,42.62,44.38,NA,NA
1058,2,NA,NA,NA,NA,75.9,75.69,81.03
1059,2,NA,NA,NA,NA,60.9,63.18,70.82
1060,1,1,48.77,61.1,61.94,61.89,NA,NA
1061,2,NA,NA,NA,NA,52.57,53.59,50.78
1062,1,NA,NA,NA,NA,51.1,NA,NA
1063,2,2,41.74,NA,NA,NA,NA,NA
1064,1,1,29.49,28.47,44.65,40.69,33.07,36.77
1065,1,2,57.01,NA,61.7,66.54,71.67,68.14
1066,1,NA,49.23,49.75,43.09,55.75,49.7,53.91
1067,1,2,50.82,54.04,58.29,NA,55.55,NA
1068,2,NA,NA,NA,NA,52.66,58.48,NA
1069,2,NA,NA,NA,NA,54.75,57.16,59.32
1070,2,NA,NA,NA,NA,76.07,80.05,76.6
1071,1,1,48.76,44.89,52.99,59.62,65.49,NA
1072,2,1,69.68,65.68,70.32,74.75,76.47,77.7
1073,2,3,54.85,NA,66.91,72.52,73.89,75.38
1074,1,NA,NA,NA,NA,64.45,68.46,70.55
1075,2,NA,NA,NA,NA,76.99,80.3,84.87
1076,2,1,54.22,52.14,NA,NA,NA,NA
1077,1,NA,NA,NA,NA,53.94,NA,NA
1078,1,NA,NA,NA,NA,64.14,69.44,69.87
1079,1,2,44.2,48.8,NA,NA,NA,NA
1080,2,2,39.44,43.63,50.99,52.13,50.54,45.2
1081,1,NA,NA,NA,NA,46.95,52.66,55.43
1082,1,2,48.87,58.05,NA,NA,61.06,NA
1083,1,NA,NA,NA,NA,58.05,62.09,NA
1084,1,NA,NA,NA,NA,49.88,67.89,68.71
1085,1,NA,NA,NA,NA,51.74,NA,53.39
1086,1,1,52.48,49.33,60.97,NA,NA,NA
1087,1,1,58.67,57.33,63.45,62.62,62.56,58.84
1088,2,NA,NA,NA,NA,58.64,62.43,66.95
1089,1,2,55.47,NA,NA,NA,NA,NA
1090,2,NA,NA,NA,NA,56.72,67.27,67.6
1091,2,3,54,49.56,NA,NA,NA,NA
1092,2,3,56.3,69.56,67.83,NA,NA,NA
1093,1,NA,NA,NA,NA,53.16,NA,NA
1094,1,2,37.1,34.86,28.66,43.67,37.9,NA
1095,2,2,49.58,NA,NA,64.12,NA,NA
1096,1,NA,NA,NA,NA,NA,NA,NA
1097,2,1,47.05,48.07,42.29,NA,NA,NA
1098,1,NA,NA,NA,NA,48.38,51.81,62.32
1099,1,NA,NA,NA,NA,61.75,68.5,69.76
1100,2,NA,NA,NA,NA,60.12,65.33,69.22
1101,2,NA,NA,NA,NA,60.54,58.09,NA
1102,2,NA,NA,NA,NA,48.44,68.58,71.87
1103,1,2,37.95,38.36,56.99,NA,NA,NA
1104,1,2,49.44,62.48,64.95,71.55,73.24,75.57
1105,1,NA,NA,NA,NA,35.72,67.94,NA
1106,2,NA,NA,NA,NA,49.55,48.83,41.26
1107,1,NA,NA,NA,NA,70.28,72.04,NA
1108,1,1,60.56,67.42,69.81,72.81,70.79,74.88
1109,1,NA,NA,NA,NA,53.07,50.9,55.83
1110,1,NA,NA,NA,NA,63.23,60.38,NA
1111,2,NA,NA,NA,NA,57.44,52.23,NA
1112,1,3,44.48,61.6,60.65,65.32,64.19,69.98
1113,1,NA,NA,NA,NA,43.03,40.85,39.16
1114,1,NA,NA,NA,NA,60.82,71.23,67.88
1115,1,NA,NA,NA,NA,62.22,54.65,56.03
1116,2,3,45.97,NA,62.21,61.22,NA,NA
1117,1,NA,NA,NA,NA,64.49,74.54,69.76
1118,1,NA,NA,NA,NA,52.61,58.36,57.53
1119,2,NA,NA,NA,NA,53.23,NA,NA
1120,2,NA,NA,NA,NA,60.4,63.12,NA
1121,2,NA,NA,NA,NA,52.36,NA,47.09
1122,2,NA,NA,NA,NA,41.11,NA,NA
1123,2,3,58.31,62.04,63.99,65.66,71.34,64.73
1124,2,2,48.38,43.04,65.57,68.47,80.57,NA
1125,2,NA,NA,NA,NA,83.38,83.65,84.77
1126,1,1,41.08,NA,61.94,NA,NA,NA
1127,2,NA,27.13,NA,39.48,NA,NA,NA
1128,2,NA,NA,NA,NA,69.57,71.19,66.34
1129,2,2,NA,51.74,66.06,69.15,NA,NA
1130,1,NA,NA,NA,NA,59.88,NA,NA
1131,2,NA,NA,NA,NA,75.16,73.37,NA
