         *         *         *    45.480    42.420         *    39.301     1.551    39.270     1.560     0.006     0.994     2.000
    33.130    34.290         *    30.910    40.870         *    33.981     1.475    33.981     1.475     0.000     1.000     2.000
         *         *         *    63.480    65.020    64.320    55.163     2.328    57.177     1.925     0.711     0.289     1.000
    54.930         *         *         *         *         *    54.156     2.921    56.617     2.919     0.541     0.459     1.000
    46.930    42.970    53.630    65.350         *         *    46.760     3.725    46.763     3.719     0.006     0.994     2.000
    26.750         *         *         *         *         *    33.970     2.489    33.963     2.487     0.002     0.998     2.000
         *         *         *    76.340    79.140    74.980    65.764     2.907    66.440     2.786     0.925     0.075     1.000
         *         *         *    61.860         *    64.860    52.662     2.618    55.827     2.055     0.530     0.470     1.000
    41.690    42.920    65.820    64.900         *         *    46.859     4.334    46.858     4.333     0.001     0.999     2.000
         *         *         *    41.740    53.550    52.600    41.390     2.371    41.387     2.372     0.002     0.998     2.000
    48.570    64.170    64.350    69.030    70.270    82.070    55.880     4.125    56.759     3.922     0.736     0.264     1.000
    46.460    46.330    52.090    55.720    53.250    60.130    45.720     2.546    45.456     2.624     0.160     0.840     2.000
         *         *         *    49.290    45.110    49.820    41.101     1.774    41.018     1.795     0.015     0.985     2.000
         *         *         *    64.860    67.450    69.560    56.400     2.713    57.582     2.476     0.809     0.191     1.000
         *         *         *    39.250         *         *    38.528     1.761    38.525     1.762     0.001     0.999     2.000
    56.800         *         *         *         *         *    55.880     2.909    57.811     2.884     0.643     0.357     1.000
    65.500    69.090    73.310    77.350    81.120    84.640    65.519     3.793    65.531     3.791     0.996     0.004     1.000
         *         *         *    37.090    37.440    38.310    35.555     0.913    35.549     0.914     0.001     0.999     2.000
         *         *         *    75.810    82.050         *    64.570     4.030    64.862     3.983     0.955     0.045     1.000
         *         *         *    75.050    75.050    80.210    63.227     3.197    63.677     3.108     0.939     0.061     1.000
         *         *         *    44.580    57.040    53.780    43.038     2.551    43.031     2.552     0.003     0.997     2.000
    63.140    69.450    67.580    66.260         *         *    63.402     1.823    63.631     1.747     0.949     0.051     1.000
    42.360    38.330         *    58.930         *         *    43.025     3.359    43.026     3.358     0.002     0.998     2.000
         *         *         *    59.590    66.700    64.730    52.315     2.954    49.684     3.449     0.493     0.507     2.000
         *         *         *    75.220    76.680    81.400    63.612     3.384    63.924     3.324     0.956     0.044     1.000
         *         *         *    44.700    50.760    53.250    41.496     2.259    41.446     2.272     0.018     0.982     2.000
         *         *         *    69.910    70.070    70.740    60.119     2.515    61.139     2.314     0.869     0.131     1.000
    42.220         *    58.070    58.810    55.810    61.100    46.352     2.954    45.942     3.047     0.092     0.908     2.000
         *         *         *    65.660         *         *    55.563     2.991    58.021     2.652     0.646     0.354     1.000
         *         *         *    62.630         *         *    52.884     2.908    56.056     2.429     0.505     0.495     1.000
    62.870    70.370         *         *         *         *    64.684     3.105    64.973     3.081     0.946     0.054     1.000
    49.900    36.200    45.480    47.880    51.530    50.220    42.949     1.851    42.955     1.849     0.007     0.993     2.000
    58.540    53.940    64.920    62.940    65.670         *    55.417     2.673    55.988     2.526     0.742     0.258     1.000
    41.000    56.530    55.490         *    51.250    42.660    45.560     1.238    45.511     1.249     0.007     0.993     2.000
         *         *         *    50.580    58.170    60.390    45.357     2.880    45.089     2.939     0.085     0.915     2.000
         *         *         *    59.480    58.070    64.850    49.197     2.716    47.471     3.118     0.314     0.686     2.000
    35.130    44.930         *    37.510    41.130         *    37.640     1.334    37.637     1.335     0.001     0.999     2.000
    60.800    59.120    62.440    62.510    70.060    66.130    57.611     2.465    57.828     2.421     0.909     0.091     1.000
    54.500    63.890    63.110    70.720    66.910         *    58.348     2.662    59.247     2.439     0.788     0.212     1.000
         *         *         *    58.920         *    63.410    50.184     2.693    47.852     3.126     0.395     0.605     2.000
