         *         *         *    45.480    42.420         *    41.663     0.828    44.653    -0.444     0.000     0.437     0.553     0.000     0.010     3.000
    33.130    34.290         *    30.910    40.870         *    33.932     1.399    34.664     0.704     0.000     0.341     0.657     0.000     0.001     3.000
         *         *         *    63.480    65.020    64.320    53.749     2.611    52.955     2.689     0.335     0.010     0.000     0.018     0.636     5.000
    54.930         *         *         *         *         *    54.374     2.765    52.893     2.666     0.376     0.067     0.019     0.013     0.524     5.000
    46.930    42.970    53.630    65.350         *         *    46.746     3.815    47.145     3.669     0.003     0.140     0.000     0.147     0.710     5.000
    26.750         *         *         *         *         *    32.115     3.521    30.978     3.801     0.000     0.494     0.251     0.146     0.109     2.000
         *         *         *    76.340    79.140    74.980    65.642     2.984    65.965     2.945     0.958     0.000     0.000     0.013     0.029     1.000
         *         *         *    61.860         *    64.860    52.014     2.761    51.688     2.786     0.210     0.036     0.000     0.023     0.730     5.000
    41.690    42.920    65.820    64.900         *         *    43.913     5.571    42.448     6.223     0.000     0.023     0.000     0.725     0.253     4.000
         *         *         *    41.740    53.550    52.600    40.100     2.660    39.973     2.624     0.000     0.851     0.005     0.007     0.137     2.000
    48.570    64.170    64.350    69.030    70.270    82.070    56.437     3.961    56.907     3.867     0.863     0.000     0.000     0.041     0.095     1.000
    46.460    46.330    52.090    55.720    53.250    60.130    45.797     2.578    45.696     2.813     0.025     0.361     0.001     0.001     0.613     5.000
         *         *         *    49.290    45.110    49.820    41.645     1.753    40.129     2.262     0.000     0.738     0.213     0.001     0.047     2.000
         *         *         *    64.860    67.450    69.560    55.550     2.883    56.914     2.702     0.553     0.002     0.000     0.020     0.425     1.000
         *         *         *    39.250         *         *    39.091     1.215    40.585    -0.280     0.000     0.426     0.524     0.027     0.022     3.000
    56.800         *         *         *         *         *    55.965     2.804    58.439     3.247     0.474     0.039     0.012     0.008     0.466     1.000
    65.500    69.090    73.310    77.350    81.120    84.640    65.747     3.717    65.748     3.718     0.999     0.000     0.000     0.000     0.001     1.000
         *         *         *    37.090    37.440    38.310    38.663    -0.159    38.787    -0.215     0.000     0.021     0.979     0.000     0.000     3.000
         *         *         *    75.810    82.050         *    65.439     3.792    65.532     3.780     0.990     0.000     0.000     0.005     0.005     1.000
         *         *         *    75.050    75.050    80.210    63.348     3.193    63.611     3.151     0.964     0.000     0.000     0.012     0.024     1.000
         *         *         *    44.580    57.040    53.780    42.293     2.651    42.078     2.559     0.000     0.725     0.001     0.013     0.260     2.000
    63.140    69.450    67.580    66.260         *         *    62.529     2.185    62.774     2.229     0.818     0.001     0.000     0.000     0.181     1.000
    42.360    38.330         *    58.930         *         *    42.499     3.758    42.485     2.744     0.001     0.446     0.000     0.190     0.364     2.000
         *         *         *    59.590    66.700    64.730    52.220     2.913    52.098     2.881     0.196     0.014     0.000     0.026     0.764     5.000
         *         *         *    75.220    76.680    81.400    63.887     3.335    64.034     3.312     0.981     0.000     0.000     0.007     0.012     1.000
         *         *         *    44.700    50.760    53.250    40.557     2.508    40.253     2.525     0.001     0.815     0.027     0.003     0.154     2.000
         *         *         *    69.910    70.070    70.740    59.166     2.724    60.324     2.585     0.725     0.000     0.000     0.021     0.254     1.000
    42.220         *    58.070    58.810    55.810    61.100    46.908     2.901    47.265     2.920     0.018     0.151     0.000     0.011     0.819     5.000
         *         *         *    65.660         *         *    55.133     3.030    57.616     2.943     0.471     0.018     0.000     0.046     0.465     1.000
         *         *         *    62.630         *         *    52.565     2.973    52.360     2.878     0.277     0.049     0.000     0.049     0.625     5.000
    62.870    70.370         *         *         *         *    64.593     3.131    64.877     3.227     0.920     0.001     0.000     0.001     0.078     1.000
    49.900    36.200    45.480    47.880    51.530    50.220    43.917     1.809    44.429     1.687     0.001     0.758     0.035     0.000     0.205     2.000
    58.540    53.940    64.920    62.940    65.670         *    55.350     2.638    55.018     2.628     0.406     0.007     0.000     0.001     0.586     5.000
    41.000    56.530    55.490         *    51.250    42.660    44.588     1.748    44.422     1.811     0.000     0.965     0.025     0.000     0.010     2.000
         *         *         *    50.580    58.170    60.390    45.524     2.873    45.979     2.952     0.014     0.272     0.000     0.018     0.696     5.000
         *         *         *    59.480    58.070    64.850    49.165     2.837    49.308     2.871     0.069     0.082     0.000     0.020     0.829     5.000
    35.130    44.930         *    37.510    41.130         *    38.894     0.730    40.044     0.016     0.000     0.297     0.700     0.000     0.002     3.000
    60.800    59.120    62.440    62.510    70.060    66.130    57.286     2.488    57.495     2.575     0.620     0.001     0.000     0.000     0.379     1.000
    54.500    63.890    63.110    70.720    66.910         *    58.140     2.671    58.779     2.664     0.584     0.001     0.000     0.004     0.411     1.000
         *         *         *    58.920         *    63.410    50.005     2.780    50.104     2.810     0.118     0.081     0.000     0.021     0.779     5.000
    46.770    44.100         *    58.250         *    62.160    46.098     3.124    46.160     3.293     0.018     0.216     0.000     0.012     0.755     5.000
         *         *         *    60.830         *         *    51.163     2.951    51.388     2.892     0.184     0.082     0.000     0.049     0.684     5.000
    74.590    71.100    76.640    82.700    87.700    85.920    70.044     3.825    70.044     3.825     1.000     0.000     0.000     0.000     0.000     1.000
    52.750    69.480         *         *         *         *    58.995     3.255    61.396     3.563     0.540     0.022     0.000     0.073     0.365     1.000
    48.240    55.280         *         *         *         *    50.229     2.875    50.437     2.969     0.162     0.168     0.013     0.032     0.624     5.000
         *         *         *    62.110         *    67.500    52.638     2.939    52.251     2.948     0.269     0.022     0.000     0.029     0.680     5.000
         *         *         *    50.430    54.420    60.700    44.193     2.794    44.738     2.968     0.011     0.432     0.001     0.012     0.544     5.000
         *         *         *    66.460         *         *    55.847     3.051    58.180     2.978     0.525     0.013     0.000     0.045     0.416     1.000
         *         *         *    47.250         *         *    42.354     2.366    41.265     2.439     0.001     0.629     0.117     0.040     0.213     2.000
    47.270    47.980    49.510    53.690    61.730    60.570    46.432     3.037    46.396     3.139     0.034     0.155     0.000     0.003     0.808     5.000
         *         *         *    41.070         *         *    39.856     1.486    38.231     2.602     0.000     0.506     0.424     0.030     0.041     2.000
    54.330    56.620    61.160    58.090         *    59.950    53.459     1.927    53.124     2.022     0.221     0.077     0.000     0.000     0.701     5.000
         *         *         *    51.560         *    43.160    43.570     1.492    42.259     2.035     0.000     0.797     0.192     0.000     0.011     2.000
         *         *         *    69.980         *    64.050    55.509     2.548    55.243     2.403     0.227     0.014     0.000     0.069     0.691     5.000
    26.140    31.320    42.620    44.380         *         *    31.034     4.070    30.791     3.978     0.000     0.852     0.028     0.049     0.071     2.000
         *         *         *    75.900    75.690    81.030    63.940     3.223    64.178     3.185     0.971     0.000     0.000     0.012     0.018     1.000
         *         *         *    60.900    63.180    70.820    51.632     3.213    51.645     3.210     0.253     0.013     0.000     0.041     0.693     5.000
    48.770    61.100    61.940    61.890         *         *    54.036     2.930    53.593     2.851     0.398     0.017     0.000     0.015     0.570     5.000
         *         *         *    52.570    53.590    50.780    44.328     2.132    43.856     2.190     0.011     0.750     0.028     0.003     0.207     2.000
         *         *         *    51.100         *         *    44.460     2.678    43.156     2.337     0.008     0.499     0.031     0.045     0.417     2.000
    41.740         *         *         *         *         *    43.358     2.754    41.912     2.437     0.017     0.427     0.123     0.084     0.349     2.000
    29.490    28.470    44.650    40.690    33.070    36.770    33.429     0.999    34.176     0.495     0.000     0.230     0.769     0.000     0.000     3.000
    57.010         *    61.700    66.540    71.670    68.140    57.171     2.977    57.458     3.052     0.712     0.001     0.000     0.001     0.286     1.000
    49.230    49.750    43.090    55.750    49.700    53.910    46.445     1.656    46.630     1.566     0.001     0.725     0.028     0.000     0.246     2.000
    50.820    54.040    58.290         *    55.550         *    50.304     2.052    50.315     2.298     0.040     0.282     0.003     0.001     0.673     5.000
         *         *         *    52.660    58.480         *    46.268     2.843    46.869     2.944     0.026     0.293     0.001     0.030     0.651     5.000
         *         *         *    54.750    57.160    59.320    46.899     2.618    47.130     2.708     0.051     0.228     0.001     0.010     0.710     5.000
         *         *         *    76.070    80.050    76.600    65.699     3.149    65.903     3.124     0.973     0.000     0.000     0.009     0.018     1.000
    48.760    44.890    52.990    59.620    65.490         *    47.513     3.691    47.579     3.686     0.044     0.062     0.000     0.031     0.863     5.000
    69.680    65.680    70.320    74.750    76.470    77.700    64.803     2.885    64.808     2.888     0.991     0.000     0.000     0.000     0.009     1.000
    54.850         *    66.910    72.520    73.890    75.380    59.631     3.518    59.747     3.525     0.938     0.000     0.000     0.003     0.059     1.000
         *         *         *    64.450    68.460    70.550    55.684     3.001    56.864     2.854     0.589     0.001     0.000     0.022     0.388     1.000
         *         *         *    76.990    80.300    84.870    65.608     3.639    65.666     3.630     0.994     0.000     0.000     0.003     0.002     1.000
    54.220    52.140         *         *         *         *    51.452     2.564    51.327     2.766     0.149     0.113     0.031     0.012     0.695     5.000
         *         *         *    53.940         *         *    46.303     2.809    47.665     2.945     0.023     0.351     0.009     0.047     0.570     5.000
         *         *         *    64.140    69.440    69.870    55.795     3.015    57.027     2.885     0.568     0.001     0.000     0.023     0.408     1.000
    44.200    48.800         *         *         *         *    45.525     2.726    46.523     3.280     0.027     0.375     0.069     0.047     0.483     5.000
    39.440    43.630    50.990    52.130    50.540    45.200    41.473     2.313    41.306     2.372     0.001     0.937     0.028     0.000     0.034     2.000
         *         *         *    46.950    52.660    55.430    42.035     2.574    41.714     2.501     0.003     0.697     0.009     0.005     0.286     2.000
    48.870    58.050         *         *    61.060         *    51.258     2.636    51.293     2.713     0.117     0.094     0.000     0.014     0.776     5.000
         *         *         *    58.050    62.090         *    49.899     2.939    50.070     2.933     0.135     0.068     0.000     0.035     0.761     5.000
         *         *         *    49.880    67.890    68.710    46.004     4.454    49.097     3.541     0.000     0.036     0.000     0.376     0.588     5.000
         *         *         *    51.740         *    53.390    43.989     2.292    43.310     2.279     0.010     0.670     0.021     0.005     0.294     2.000
    52.480    49.330    60.970         *         *         *    50.903     2.870    50.898     2.960     0.096     0.119     0.003     0.018     0.763     5.000
    58.670    57.330    63.450    62.620    62.560    58.840    56.307     1.588    55.621     1.671     0.399     0.031     0.000     0.000     0.570     5.000
         *         *         *    58.640    62.430    66.950    50.496     3.037    50.464     3.052     0.175     0.026     0.000     0.025     0.774     5.000
    55.470         *         *         *         *         *    54.836     2.777    53.183     2.636     0.405     0.058     0.017     0.012     0.509     5.000
         *         *         *    56.720    67.270    67.600    50.807     3.334    51.335     3.186     0.064     0.015     0.000     0.059     0.862     5.000
    54.000    49.560         *         *         *         *    50.304     2.442    50.256     2.828     0.072     0.149     0.056     0.016     0.706     5.000
    56.300    69.560    67.830         *         *         *    61.646     3.197    62.017     3.320     0.854     0.002     0.000     0.006     0.138     1.000
         *         *         *    53.160         *         *    45.781     2.779    47.244     2.951     0.017     0.392     0.013     0.047     0.531     5.000
    37.100    34.860    28.660    43.670    37.900         *    36.194     0.974    36.823     0.381     0.000     0.291     0.708     0.000     0.001     3.000
    49.580         *         *    64.120         *         *    52.027     3.226    51.660     3.098     0.279     0.047     0.000     0.038     0.635     5.000
    47.050    48.070    42.290         *         *         *    45.123     1.546    44.870     1.907     0.001     0.483     0.264     0.025     0.227     2.000
         *         *         *    48.380    51.810    62.320    42.446     2.828    42.245     2.613     0.002     0.665     0.000     0.015     0.318     2.000
         *         *         *    61.750    68.500    69.760    53.992     3.157    53.615     3.120     0.398     0.003     0.000     0.032     0.567     5.000
         *         *         *    60.120    65.330    69.220    52.142     3.152    51.997     3.145     0.285     0.008     0.000     0.032     0.675     5.000
         *         *         *    60.540    58.090         *    49.320     2.689    49.647     2.726     0.058     0.139     0.000     0.029     0.774     5.000
         *         *         *    48.440    68.580    71.870    43.300     5.543    41.382     6.172     0.000     0.019     0.000     0.741     0.240     4.000
    37.950    38.360    56.990         *         *         *    40.438     3.949    40.122     2.900     0.000     0.505     0.005     0.240     0.250     2.000
    49.440    62.480    64.950    71.550    73.240    75.570    57.465     3.864    57.630     3.873     0.907     0.000     0.000     0.008     0.085     1.000
         *         *         *    35.720    67.940         *    39.597     6.205    39.577     6.227     0.000     0.006     0.000     0.993     0.001     4.000
         *         *         *    49.550    48.830    41.260    42.967     1.384    40.994     2.057     0.000     0.755     0.239     0.000     0.005     2.000
