   251.000 0 0 0 1 1 0      0.541      0.009      0.449    1
    75.000 0 0 0 1 1 1      0.959      0.011      0.030    1
    72.000 0 0 1 1 1 0      0.803      0.088      0.108    1
    38.000 0 0 1 0 1 0      0.431      0.139      0.430    1
    34.000 0 0 0 0 1 1      0.789      0.027      0.184    1
    33.000 0 0 0 1 0 1      0.806      0.015      0.179    1
    28.000 0 0 1 1 1 1      0.925      0.070      0.005    1
    20.000 0 0 1 1 0 0      0.471      0.081      0.447    1
     8.000 0 0 1 1 0 1      0.866      0.103      0.031    1
     5.000 1 0 0 1 1 0      0.532      0.225      0.243    1
     3.000 0 0 1 0 0 1      0.619      0.216      0.165    1
     2.000 0 0 1 0 1 1      0.794      0.176      0.030    1
     2.000 1 0 0 1 1 1      0.765      0.222      0.013    1
     1.000 * * * 1 0 1      0.668      0.213      0.119    1
    24.000 0 1 0 0 1 0      0.000      0.561      0.439    2
    20.000 0 1 1 0 1 0      0.000      0.981      0.019    2
    19.000 0 1 1 1 1 0      0.000      0.992      0.008    2
    18.000 0 1 1 1 0 0      0.000      0.967      0.033    2
    12.000 0 1 1 1 1 1      0.000      1.000      0.000    2
     9.000 0 1 1 0 0 0      0.000      0.920      0.080    2
     8.000 1 1 1 0 1 0      0.000      1.000      0.000    2
     7.000 0 1 0 1 1 0      0.000      0.763      0.237    2
     7.000 1 1 0 1 1 0      0.000      0.993      0.007    2
     6.000 1 1 1 1 1 1      0.000      1.000      0.000    2
     6.000 1 1 0 0 1 0      0.000      0.983      0.017    2
     6.000 1 1 1 1 1 0      0.000      1.000      0.000    2
     5.000 1 1 1 0 1 1      0.000      1.000      0.000    2
     4.000 0 1 1 1 0 1      0.000      0.998      0.002    2
     4.000 0 1 1 0 1 1      0.000      0.999      0.001    2
     4.000 1 1 0 1 1 1      0.000      1.000      0.000    2
     3.000 0 1 0 0 0 1      0.000      0.838      0.162    2
     3.000 1 0 1 1 1 0      0.261      0.719      0.019    2
     3.000 1 1 1 0 0 0      0.000      0.998      0.002    2
     3.000 0 1 1 0 0 1      0.000      0.995      0.005    2
     3.000 1 0 1 0 0 0      0.057      0.724      0.220    2
     2.000 1 0 1 1 1 1      0.345      0.654      0.001    2
     2.000 1 1 0 1 0 0      0.000      0.970      0.030    2
     2.000 1 1 0 0 0 0      0.000      0.929      0.071    2
     2.000 1 0 1 0 1 0      0.104      0.839      0.057    2
     2.000 0 1 0 1 1 1      0.000      0.983      0.017    2
     2.000 0 1 0 0 1 1      0.000      0.958      0.042    2
     2.000 1 0 1 1 0 0      0.171      0.740      0.089    2
     2.000 1 1 1 1 0 1      0.000      1.000      0.000    2
     1.000 1 1 1 1 0 0      0.000      0.999      0.001    2
     1.000 0 1 0 1 0 1      0.000      0.928      0.072    2
     1.000 1 0 1 0 1 1      0.152      0.845      0.003    2
   525.000 0 0 0 0 0 0      0.023      0.002      0.976    3
   299.000 0 0 0 0 1 0      0.139      0.007      0.854    3
   293.000 0 0 0 1 0 0      0.146      0.004      0.850    3
    36.000 0 0 1 0 0 0      0.117      0.060      0.823    3
    27.000 0 0 0 * * *      0.236      0.006      0.758    3
    15.000 0 1 0 0 0 0      0.000      0.223      0.777    3
    15.000 * * * 0 0 0      0.027      0.037      0.936    3
    14.000 0 0 0 0 0 1      0.371      0.020      0.609    3
    11.000 0 1 0 1 0 0      0.000      0.419      0.581    3
    11.000 * * * 1 0 0      0.162      0.075      0.762    3
     8.000 1 0 0 1 0 0      0.205      0.136      0.659    3
     4.000 1 0 0 0 0 0      0.037      0.073      0.889    3
     3.000 0 0 0 1 * 0      0.334      0.006      0.660    3
     1.000 1 0 0 0 1 0      0.178      0.221      0.601    3
