CASENUM,COHORT,AB39A,GA32A,KA46A,AB39B,AB39C,AB39D,AB39E,AB39F,AB39G,AB39H,GA32H,KA46H,AB39I,GA32I,KA46I,AB39J,AB39K,GA32K,KA46K,AB39L,GA32L,KA46L,AB39M,GA33A,KA47A,AB39N,AB39O,AB39P,AB39Q,AB39R,AB39S,AB39T,GA33H,KA47H,AB39U,GA33I,KA47I,AB39V,AB39W,GA33K,KA47K,AB39X,GA33L,KA47L,SCIENCEG7,SCIG8,SCIG11,MTH7,SCI7,SCI8,MOTHED,FATHED,PEDUC,PEDUC3,RSEDAN,RSEDAN6,RSEDAN5,RBACC,RMAJFIRST,RMAJFIRST2,RMAJLAST2,RMAJLAST,RGRADMAJ,RGRADMAJ10,RSTEMM,RSTEMMX,RSTEMMB,RSTEMMA,WEIGHT7,WEIGHT8,WEIGHT9,WEIGHT10,WEIGHT11,WEIGHT12,WEIGHTP1,WEIGHTP2,WEIGHTP4,WGT12A,WEIGHTR,GENDER,RACETH3,RACETH,MINORITY,STEM,STEMSUP,ENGINEER,MATHG7,MATHG8,MATHG10,MATHG11,MATHG12,FEMALE
3819,2,0,0,0,3,1,4,1,3,1,1,1,1,0,1,1,5,1,1,0,1,0,0,1,1,1,2,2,4,5,4,5,0,0,0,0,0,0,3,0,NA,0,0,0,0,59.69,69.34,74.15,4,1,1,2,2,2,1,3,2,1,0,10,0,0,0,0,0,0,33,1,1,1.3125,1.249,1.2959,1.2931,1.5405,1.4909,1.3549,0,0,1.3752,1.35,2,3,3,0,0,0,0,70.05,69.23,78.52,81.66,78.77,0
5881,2,1,0,1,2,2,4,4,3,4,1,1,1,1,1,1,4,1,1,1,1,1,1,1,0,1,2,2,4,4,2,4,1,0,0,1,1,1,4,1,1,1,1,1,1,55.29,61.71,59.84,4,1,1,2,2,2,1,13,4,3,1,8,0,0,8,0,0,0,22,1,1,1.3125,1.249,1.2959,1.2931,1.5405,1.4909,1.3549,0,0,1.3752,1.35,2,3,3,0,0,0,0,59.36,65.2,72.06,70,75.05,0
1435,2,1,NA,NA,3,2,4,5,3,4,0,NA,NA,0,NA,NA,4,0,NA,NA,0,NA,NA,0,NA,NA,4,3,2,4,2,3,0,NA,NA,0,NA,NA,4,0,NA,NA,0,NA,NA,59.85,61.95,75.79,4,1,1,3,4,4,4,16,6,5,1,10,0,0,6,0,5,0,17,1,1,1.3125,1.249,1.2959,1.2931,1.5405,1.4909,1.3549,0,0,1.3752,1.28,1,3,3,0,0,0,0,68.47,69.31,9999,80.57,9999,1
5278,2,0,0,1,3,3,5,3,2,4,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,3,2,5,3,2,5,0,0,0,0,0,1,5,0,0,0,0,0,0,52.5,60.92,73.85,4,1,1,2,2,2,1,13,4,3,1,8,0,0,8,0,0,0,18,1,1,1.3125,1.249,1.2959,1.2931,1.5405,1.4909,1.3549,0,0,1.3752,1.28,1,1,1,1,0,0,0,61.66,66.08,70,82.12,90.01,1
6693,2,1,1,1,2,1,5,5,4,5,1,1,1,NA,1,1,5,1,1,0,1,1,1,1,1,1,2,1,5,5,5,5,1,1,1,0,1,1,5,0,1,0,1,1,1,65.09,58.8,73.94,4,1,1,2,4,4,4,13,4,3,1,9,0,0,9,0,0,0,61,0,0,1.3125,1.249,1.2959,1.2931,1.5405,1.4909,1.3549,0,0,1.3752,1.28,1,3,3,0,0,0,0,69.87,65.75,74.47,76.04,80.02,1
4294,2,1,0,0,2,2,3,4,2,3,0,0,1,1,1,0,3,1,1,0,1,1,1,0,0,0,2,2,3,3,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,56.47,58.53,57.67,4,1,1,2,2,2,1,15,5,4,1,10,0,1,5,0,6,0,21,2,2,1.3125,1.249,1.2959,1.2931,1.5405,1.4909,1.3549,0,0,1.3752,1.28,1,3,3,0,0,1,0,64.22,63.88,61.9,78.31,79.07,1
5682,2,1,1,0,2,2,5,4,1,3,1,1,0,1,1,0,5,1,1,0,0,1,0,0,1,0,4,4,5,1,1,2,0,1,1,0,1,1,5,0,1,1,0,1,1,59.39,59.65,65.82,4,1,1,4,5,5,4,13,4,3,1,6,0,0,6,0,0,0,63,0,0,1.3125,1.249,1.2959,1.2931,1.5405,1.4909,1.3549,0,0,1.3752,1.28,1,3,4,0,0,0,0,60.13,62.04,9999,72.38,84.56,1
6485,2,1,1,NA,2,2,3,4,4,4,1,1,NA,1,1,NA,3,1,1,NA,1,1,NA,1,1,NA,2,2,3,2,2,2,0,0,NA,0,0,NA,3,0,0,NA,1,0,NA,50.88,46.12,9999,3,1,1,2,2,2,1,13,4,3,1,8,0,0,8,0,0,0,22,1,1,1.3125,1.249,1.2959,1.2931,1.5405,1.4909,1.3549,0,0,1.3752,1.35,2,3,3,0,0,0,0,60.66,64.14,72.15,9999,9999,0
4938,2,0,0,NA,2,2,4,4,2,4,1,1,NA,1,0,NA,3,1,1,NA,1,0,NA,1,1,NA,1,1,3,4,5,4,1,0,NA,1,0,NA,3,0,NA,NA,1,0,NA,72.72,71.19,9999,3,1,1,3,4,4,4,4,2,1,0,10,0,0,0,0,0,0,43,1,1,1.3125,1.249,1.2959,1.2931,1.5405,0,1.3549,0,0,1.3752,1.35,2,3,3,0,0,0,0,71.66,70.5,86.79,9999,9999,0
6080,2,0,0,1,2,1,5,5,1,5,1,0,0,1,0,1,5,0,0,0,1,1,0,0,0,0,4,3,5,5,1,4,0,0,0,0,0,0,5,0,0,0,0,0,0,50.21,49.96,65.32,3,1,1,3,2,3,3,15,5,4,1,6,0,0,6,0,6,0,18,1,1,1.3125,1.249,1.2959,1.2931,1.5405,1.4909,1.3549,0,0,1.3752,1.28,1,3,3,0,0,0,0,55.06,48.32,63.96,65.59,75.09,1
