Item,Grade,N,M,SD
I enjoy math,7,1750,0.69,0.46
I enjoy math,10,1415,0.62,0.48
I enjoy math,12,1030,0.56,0.5
Math is useful in everyday problems,7,1718,0.72,0.45
Math is useful in everyday problems,10,1403,0.64,0.48
Math is useful in everyday problems,12,1021,0.67,0.47
Math helps a person think logically,7,1715,0.65,0.48
Math helps a person think logically,10,1401,0.68,0.47
Math helps a person think logically,12,1019,0.71,0.46
It is important to know math to get a good job,7,1723,0.77,0.42
It is important to know math to get a good job,10,1402,0.67,0.47
It is important to know math to get a good job,12,1015,0.61,0.49
I will use math in many ways as an adult,7,1726,0.75,0.43
I will use math in many ways as an adult,10,1408,0.64,0.48
I will use math in many ways as an adult,12,1014,0.65,0.48
I enjoy science,7,1741,0.62,0.49
I enjoy science,10,1409,0.58,0.49
I enjoy science,12,1014,0.54,0.5
Science is useful in everyday problems,7,1714,0.4,0.49
Science is useful in everyday problems,10,1401,0.43,0.49
Science is useful in everyday problems,12,1008,0.48,0.5
Science helps a person think logically,7,1720,0.5,0.5
Science helps a person think logically,10,1403,0.52,0.5
Science helps a person think logically,12,1010,0.56,0.5
It is important to know science to get a good job,7,1727,0.4,0.49
It is important to know science to get a good job,10,1402,0.42,0.49
It is important to know science to get a good job,12,1008,0.38,0.48
I will use science in many ways as an adult,7,1742,0.46,0.5
I will use science in many ways as an adult,10,1407,0.4,0.49
I will use science in many ways as an adult,12,1012,0.43,0.5
