AB39A,AB39H,AB39I,AB39K,AB39L,AB39M,AB39T,AB39U,AB39W,AB39X,GA32A,GA32H,GA32I,GA32K,GA32L,GA33A,GA33H,GA33I,GA33K,GA33L,KA46A,KA46H,KA46I,KA46K,KA46L,KA47A,KA47H,KA47I,KA47K,KA47L,STEM,STEMSUP,ENGINEER,MATHG8,SCIG8,MATHG11,SCIG11,FEMALE,MINORITY,MATHG7,MATHG10,MATHG12,CASENUM,CPROB1,CPROB2,CPROB3,CPROB4,N1,N2,N3
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,9999,0,0,1,1,0,0,1,0,0,0,0,0,0,0,69.23,69.34,81.66,74.15,0,0,70.05,78.52,78.77,3819,0,0.007,0.057,0.936,4,4,3
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,65.2,61.71,70,59.84,0,0,59.36,72.06,75.05,5881,0.997,0,0.003,0,1,1,1
1,0,0,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,69.31,61.95,80.57,75.79,1,0,68.47,9999,9999,1435,0,0.991,0.007,0.003,2,9999,9999
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,66.08,60.92,82.12,73.85,1,1,61.66,70,90.01,5278,0,0.997,0.003,0.001,2,2,2
1,1,9999,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,65.75,58.8,76.04,73.94,1,0,69.87,74.47,80.02,6693,0.63,0,0.188,0.182,1,1,1
1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,63.88,58.53,78.31,57.67,1,0,64.22,61.9,79.07,4294,0,0.01,0.023,0.967,4,4,2
1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,62.04,59.65,72.38,65.82,1,0,60.13,9999,84.56,5682,0,0.025,0.051,0.924,4,1,3
1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,64.14,46.12,9999,9999,0,0,60.66,72.15,9999,6485,0.053,0,0.089,0.858,4,4,9999
0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,9999,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,70.5,71.19,9999,9999,0,0,71.66,86.79,9999,4938,0.889,0,0.1,0.011,1,2,9999
0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,48.32,49.96,65.59,65.32,1,0,55.06,63.96,75.09,6080,0,0.041,0.063,0.896,4,2,2
0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,63.86,58.22,66.48,65.25,1,0,61.99,62.71,69.11,1730,0,0.971,0.014,0.016,2,2,4
1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,62.21,49.73,67.68,64.78,1,0,60.09,63.67,69.66,5280,0,0.008,0.03,0.961,4,4,4
1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,60.26,62.04,9999,9999,1,0,58.98,65.77,9999,2204,0.997,0,0.003,0,1,3,9999
0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,9999,9999,9999,9999,9999,0,0,0,60.38,58.92,81.31,65.43,1,1,57.98,68.85,78.24,6715,0,0.161,0.395,0.444,4,4,4
1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,54.07,9999,70.29,44.05,0,0,47.49,56.32,9999,6821,0.969,0,0.025,0.006,1,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,57.01,44.91,64.47,57.91,0,0,55.03,54.26,68.9,2041,0.997,0,0.003,0,1,3,1
1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,63.01,74.12,9999,9999,0,1,66.3,82.49,91.44,4888,0.969,0,0.025,0.006,1,3,3
1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,57.37,64.01,62.34,71.76,1,0,50.04,9999,66.01,6611,0.029,0,0.075,0.897,4,4,4
0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50.22,54.9,60.35,59.56,1,1,50.1,55.21,59.19,6800,0,0.018,0.016,0.966,4,2,2
1,1,9999,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,51.8,47.1,62.72,60.37,0,0,46.64,54.22,61.16,6469,0.965,0,0.029,0.006,1,1,1
1,0,0,1,1,1,1,1,0,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,51.42,39.1,9999,9999,1,1,40.12,9999,9999,6115,0.143,0,0.827,0.029,3,9999,9999
1,1,0,1,1,0,9999,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,58.75,9999,64.03,57.8,1,0,55.69,9999,64.75,3803,0.002,0,0.053,0.944,4,2,1
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.04,56.05,58.45,60.7,0,0,47.3,36.89,57.4,4168,0,0.172,0.186,0.642,4,2,2
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,48.62,39.83,9999,9999,0,0,49.28,31.45,9999,4618,0.969,0,0.021,0.01,1,1,9999
1,1,1,1,1,1,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,49.91,9999,9999,9999,1,1,44.11,9999,9999,5374,0.001,0,0.018,0.981,4,9999,9999
1,0,1,1,1,1,0,1,9999,0,1,1,1,1,1,1,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,51.86,66.37,61.98,68.94,0,0,51.78,62.25,9999,5353,0.036,0,0.35,0.614,4,4,9999
1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,53.42,36.76,38.16,9999,0,1,47.81,43.23,9999,4533,0,0.075,0.335,0.59,4,1,9999
1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,56.37,54.39,63.82,64.91,1,1,49.73,61.09,67.63,2417,0,0.006,0.917,0.077,3,2,4
1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,52.56,47.99,51.13,60.63,1,1,47.33,54.61,9999,6901,0.001,0.004,0.435,0.56,4,3,9999
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,45.31,49.88,9999,9999,0,0,42.58,46.75,9999,3094,0.997,0,0.003,0,1,2,9999
1,1,1,1,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,44.92,47.34,9999,9999,0,0,48.33,46.61,9999,1976,0.997,0,0.003,0,1,1,9999
